reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,calibre,power_reserve,frequency,jewels,features,description,short_description
1WTAR.U01C.C153A,https://arnoldandson.com/collections/globetrotter/globetrotter-gold,,Arnold & Son,,globetrotter,GLOBETROTTER GOLD,,Limited edition: 28,,,,https://arnoldandson.com/content/374/conversions/thumbnail-cropped.jpg,,,18-carat red gold (5N),,,38.00 mm,,,,,,,2.94 ATM,,"lacquered in shades of sunlit blue, three-dimensional appliqués in 18-carat rose gold (4N) with Super-LumiNova",,hand-stitched blue alligator leather,hand-stitched blue alligator leather,,,Calibre A&S6022 - WORLDTIMER,45 hours,"4 Hz / 28,800 vph",29,"hours, minutes, world times (24-hour ring)","Case: 45 mm, 18-carat red gold (5N)
Dial: lacquered in shades of sunlit blue, three-dimensional appliqués in 18-carat rose gold (4N) with Super-LumiNova
Strap: hand-stitched blue alligator leather",
1WTAS.U01C.C153S,https://arnoldandson.com/collections/globetrotter/globetrotter-steel-blue,,Arnold & Son,,globetrotter,GLOBETROTTER STEEL BLUE,,Limited edition: 88,,,,https://arnoldandson.com/content/383/conversions/thumbnail-cropped.jpg,,,stainless steel,,,38.00 mm,,,,,,,2.94 ATM,,"lacquered, brushed sunburst, tonal blue - Earth's dome: hand-painted, blue lacquer, mother-of-pearl powder & Super-LumiNova (shores)",,hand-stitched alligator strap,hand-stitched alligator strap,,,Calibre A&S6022 - WORLDTIMER,45 hours,"4 Hz / 28,800 vph",29,"hours, minutes, world hours (24-hour ring)","Case: 45 mm, stainless steel
Dial: lacquered, brushed sunburst, tonal blue - Earth's dome: hand-painted, blue lacquer, mother-of-pearl powder & Super-LumiNova (shores)
Strap: hand-stitched alligator strap",
1WTAS.S02C.C155S,https://arnoldandson.com/collections/globetrotter/globetrotter-steel-opaline,,Arnold & Son,,globetrotter,GLOBETROTTER STEEL OPALINE,,,,,,https://arnoldandson.com/content/388/conversions/thumbnail-cropped.jpg,,,stainless steel,,,38.00 mm,,,,,,,2.94 ATM,,"lacquered, brushed sunburst, opaline - Earth's dome: hand-painted, blue lacquer, mother-of-pearl powder & Super-LumiNova (shores)",,hand-stitched alligator strap,hand-stitched alligator strap,,,Calibre A&S6022 - WORLDTIMER,45 hours,"4 Hz / 28,800 vph",29,"hours, minutes, world hours (24-hour ring)","Case: 45 mm, stainless steel
Dial: lacquered, brushed sunburst, opaline - Earth's dome: hand-painted, blue lacquer, mother-of-pearl powder & Super-LumiNova (shores)
Strap: hand-stitched alligator strap",
1WTAX.U02C.C183C,https://arnoldandson.com/collections/globetrotter/globetrotter-platinum,,Arnold & Son,,globetrotter,GLOBETROTTER PLATINUM,,Limited edition: 28,,,,https://arnoldandson.com/content/827/conversions/thumbnail-cropped.jpg,,,Pt 950 platinum,,,38.00 mm,,,,,,,2.94 ATM,,"mother-of-pearl in graduated shades of blue, three-dimensional appliques in 18-carat rhodium-plated gold with Super-LumiNova  ///  24-hour ring:	sapphire crystal with hour decals  ///  continents: rhodium-plated and polished with matt mountain range detailing  ///  oceans: hand-painted, blue lacquer and powdered mother-of-pearl  ///  shorelines: hand-painted, blue lacquer and powdered mother-of-pearl mixed with Super-LumiNova  ///  bridge: 18-carat rhodium-plated gold, polished and satin-finished on the sides",,"Hand-stitched blue alligator skin, raspberry-pink alligator-skin lining  ///  Pt 950 platinum and titanium folding clasp","Hand-stitched blue alligator skin, raspberry-pink alligator-skin lining  ///  Pt 950 platinum and titanium folding clasp",,,Calibre A&S6022 - WORLDTIMER,45 hours,"4 Hz / 28,800 vph",29,"hours, minutes, world time (24-hour ring)","Case: Pt 950 platinum
Dial: mother-of-pearl in graduated shades of blue, three-dimensional appliques in 18-carat rhodium-plated gold with Super-LumiNova  ///  24-hour ring:	sapphire crystal with hour decals  ///  continents: rhodium-plated and polished with matt mountain range detailing  ///  oceans: hand-painted, blue lacquer and powdered mother-of-pearl  ///  shorelines: hand-painted, blue lacquer and powdered mother-of-pearl mixed with Super-LumiNova  ///  bridge: 18-carat rhodium-plated gold, polished and satin-finished on the sides
Strap: Hand-stitched blue alligator skin, raspberry-pink alligator-skin lining  ///  Pt 950 platinum and titanium folding clasp",
1DTAR.Z01A.C120R,https://arnoldandson.com/collections/grandes-complications/double-tourbillon-jade-red-gold,,Arnold & Son,,grandes-complications,DOUBLE TOURBILLON JADE,DOUBLE TOURBILLON JADE RED GOLD,Limited edition: Unique piece,,,,https://arnoldandson.com/content/397/conversions/thumbnail-cropped.jpg,,,18-carat white or red gold (5N),,,37.30 mm,,,,,,,2.94 ATM,,"Dial base: green jade, sub-dials: white opal",,Hand-stitched alligator leather,Hand-stitched alligator leather,,,Calibre A&S8513 - DOUBLE TOURBILLON,90 hours,"3 Hz / 21,600 vph",42,"Local hours and minutes (Roman numerals), independent reference hours and minutes (Arabic numerals)","Case: 43.50 mm, 18-carat white or red gold (5N)
Dial: Dial base: green jade, sub-dials: white opal
Strap: Hand-stitched alligator leather",
1DTAW.Z01A.C121W,https://arnoldandson.com/collections/grandes-complications/double-tourbillon-jade-white-gold,,Arnold & Son,,grandes-complications,DOUBLE TOURBILLON JADE,DOUBLE TOURBILLON JADE WHITE GOLD,Limited edition: Unique piece,,,,https://arnoldandson.com/content/394/conversions/thumbnail-cropped.jpg,,,18-carat white or red gold (5N),,,37.30 mm,,,,,,,2.94 ATM,,"Dial base: green jade, sub-dials: white opal",,Hand-stitched alligator leather,Hand-stitched alligator leather,,,Calibre A&S8513 - DOUBLE TOURBILLON,90 hours,"3 Hz / 21,600 vph",42,"Local hours and minutes (Roman numerals), independent reference hours and minutes (Arabic numerals)","Case: 43.50 mm, 18-carat white or red gold (5N)
Dial: Dial base: green jade, sub-dials: white opal
Strap: Hand-stitched alligator leather",
1ATCX.P01A.C200X,https://arnoldandson.com/collections/dstb/dstb-42-platinum,,Arnold & Son,,dstb,DSTB 42 PLATINUM,,Limited edition: 38,,,,https://arnoldandson.com/content/940/conversions/thumbnail-cropped.jpg,,,platinum (Pt 950),,,33.00 mm,,,,,,,2.94 ATM,,"sunray-brushed, with salmon PVD treatment",,"blue alligator leather, hand-stitched, platinum (Pt 950) pin buckle","blue alligator leather, hand-stitched, platinum (Pt 950) pin buckle",,,Calibre A&S6203 - TRUE BEAT SECONDS,55 hours,"4 Hz / 28,800 vph",32,"hours, minutes, true-beat seconds","Case: platinum (Pt 950)
Dial: sunray-brushed, with salmon PVD treatment
Strap: blue alligator leather, hand-stitched, platinum (Pt 950) pin buckle",
1ATCR.U01A.C200A,https://arnoldandson.com/collections/dstb/dstb-42-red-gold,,Arnold & Son,,dstb,DSTB 42 RED GOLD,,Limited edition: 88,,,,https://arnoldandson.com/content/939/conversions/thumbnail-cropped.jpg,,,18-carat (5N) red gold,,,33.00 mm,,,,,,,2.94 ATM,,"sunray-brushed, with blue PVD treatment",,"blue alligator leather, hand-stitched, 18-carat (5N) red gold pin buckle","blue alligator leather, hand-stitched, 18-carat (5N) red gold pin buckle",,,Calibre A&S6203 - TRUE BEAT SECONDS,55 hours,"4 Hz / 28,800 vph",32,"hours, minutes, true-beat seconds","Case: 18-carat (5N) red gold
Dial: sunray-brushed, with blue PVD treatment
Strap: blue alligator leather, hand-stitched, 18-carat (5N) red gold pin buckle",
1GLBX.U01A.C200X,https://arnoldandson.com/collections/perpetual-moon/perpetual-moon-41-5-platinum-celestial-blue,,Arnold & Son,,perpetual-moon,"PERPETUAL MOON 41.5 PLATINUM ""Celestial Blue""",,Limited edition: 38 pieces,,,,https://arnoldandson.com/content/877/conversions/thumbnail-cropped.jpg,,,platinum Pt 950,,,34.00 mm,,,,,,,2.94 ATM,,“Stellar Rays” decor with celestial-blue PVD treatment,,"blue alligator leather, hand-stitched, 18-carat white gold pin buckle","blue alligator leather, hand-stitched, 18-carat white gold pin buckle",,,Calibre A&S1512 - PRECISION MOON PHASES,90 hours,"3 Hz / 21,600 vph",27,"hours, minutes, astronomical moon phases, second moon-phase indicator on the back","Case: 41.5 mm, platinum Pt 950
Dial: “Stellar Rays” decor with celestial-blue PVD treatment
Strap: blue alligator leather, hand-stitched, 18-carat white gold pin buckle",
1GLM.WZ03A.C247A,https://arnoldandson.com/collections/perpetual-moon/perpetual-moon-38-mintnight,,Arnold & Son,,perpetual-moon,PERPETUAL MOON 38 MINTNIGHT,,Limited edition: 18,,,,https://arnoldandson.com/content/944/conversions/thumbnail-cropped.jpg,,,"18-carat white gold, set with 80 brilliant-cut diamonds",,,30.00 mm,,,,,,,2.94 ATM,,"ruthenium crystals and mother-of-pearl marquetry tinted in graduated shades of green and blue, hour-markers set with 5 marquise-cut diamonds",,"teal-blue satin-feel alligator leather, raspberry-pink alligator-leather lining, hand-stitched, 18-carat white gold pin buckle set with 22 brilliant-cut diamonds","teal-blue satin-feel alligator leather, raspberry-pink alligator-leather lining, hand-stitched, 18-carat white gold pin buckle set with 22 brilliant-cut diamonds",,,Calibre A&S1612,90 hours,"3 Hz / 21,600 vph",24,"hours, minutes, astronomical moon phases","Case: 18-carat white gold, set with 80 brilliant-cut diamonds
Dial: ruthenium crystals and mother-of-pearl marquetry tinted in graduated shades of green and blue, hour-markers set with 5 marquise-cut diamonds
Strap: teal-blue satin-feel alligator leather, raspberry-pink alligator-leather lining, hand-stitched, 18-carat white gold pin buckle set with 22 brilliant-cut diamonds",
